X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3754.67,3025.71,114.5585619,65.4528124,23.043,23.415,0.01,1.08,107.3,-0.007,0.041,0.0,0,21.859,21.85,0.009,1.3,124.1,0.008,0.013,0.0,0
3218.15,1963.1,114.5983497,65.453203,23.769,24.344,0.015,1.32,71.5,0.028,0.036,0.001,0,21.642,21.63,0.008,1.14,137.6,0.013,-0.007,0.001,0
2473.51,419.02,114.6556638,65.4533136,23.235,23.658,0.011,1.45,97.5,0.006,0.043,0.0,0,21.859,21.849,0.009,1.06,124.3,0.004,0.044,0.0,0
977.83,521.36,114.6741224,65.4726746,23.28,23.687,0.012,1.28,94.4,0.012,-0.003,0.0,0,21.968,21.959,0.009,1.06,117.0,0.006,0.032,0.0,0
2992.69,440.15,114.6475536,65.4469313,23.374,23.808,0.012,1.21,89.0,-0.002,0.035,0.0,0,21.958,21.948,0.009,1.14,117.4,-0.006,-0.002,0.0,0
1318.32,1690.41,114.6339114,65.4753978,22.969,23.151,0.01,1.24,107.6,0.035,0.042,0.068,0,22.353,22.345,0.012,1.36,92.3,0.062,0.038,0.05,0
2041.5,1190.51,114.6385965,65.4633427,22.931,22.985,0.01,1.18,112.7,0.037,0.005,0.001,0,22.674,22.667,0.014,1.12,79.5,0.036,0.03,0.0,0
3320.39,3303.29,114.5564111,65.4599153,24.236,24.835,0.023,0.97,48.2,0.006,0.085,0.0,0,21.944,21.932,0.01,1.11,111.3,0.005,-0.03,0.0,0
192.86,2871.37,114.6144283,65.4965659,23.097,23.224,0.01,1.18,103.8,-0.001,0.067,0.001,0,22.618,22.61,0.013,1.29,81.8,0.026,0.057,0.002,0
2444.8,2216.98,114.6017994,65.4644175,23.322,23.598,0.012,1.02,92.3,-0.015,0.042,0.002,0,22.446,22.437,0.012,1.02,90.1,0.012,0.008,0.003,0
