X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
2624.29,1566.77,204.2474111,-30.1124723,21.703,21.677,0.004,1.47,246.2,0.009,0.016,0.002,2,21.837,21.832,0.008,1.18,134.4,0.033,0.035,0.0,0
1389.82,2634.5,204.2494741,-30.1350687,22.173,22.31,0.005,1.68,208.3,-0.009,0.049,0.0,0,21.67,21.662,0.007,1.1,146.3,0.009,0.022,0.0,0
273.47,2062.82,204.2314552,-30.1428506,23.13,23.656,0.012,2.95,87.7,0.073,0.044,0.019,0,21.291,21.281,0.009,1.86,125.0,0.068,0.068,0.001,0
3746.77,3977.66,204.2892696,-30.119751,22.494,22.655,0.006,1.79,173.4,0.018,0.055,0.061,0,21.931,21.923,0.009,1.06,126.2,0.011,0.023,0.046,0
1390.92,2484.02,204.2475382,-30.133818,22.62,22.886,0.007,1.66,154.6,-0.017,0.064,0.0,2,21.772,21.764,0.008,1.14,138.6,0.004,0.041,0.0,0
3959.29,944.3,204.2520619,-30.0924158,22.757,23.109,0.007,1.56,154.3,0.006,0.051,0.0,0,21.643,21.634,0.007,1.22,149.3,0.013,0.024,0.002,0
1748.96,959.27,204.2312267,-30.1172632,22.711,23.025,0.007,1.07,158.6,0.004,-0.003,0.0,0,21.718,21.709,0.009,0.87,123.9,-0.001,0.007,0.0,2
3542.11,981.44,204.2485739,-30.0973882,22.514,22.583,0.006,1.39,175.3,-0.01,0.045,0.0,0,22.171,22.164,0.01,1.08,112.7,0.015,0.054,0.001,0
1870.75,1217.12,204.2357198,-30.1180234,22.415,22.4,0.007,1.1,157.2,0.017,0.026,0.0,2,22.477,22.471,0.012,1.17,88.6,0.033,0.027,0.0,2
2370.41,1431.25,204.2432432,-30.1141969,22.471,22.44,0.006,1.13,179.0,0.014,0.039,0.001,0,22.643,22.638,0.013,1.04,80.4,0.01,0.073,0.003,2
3571.36,935.64,204.24826,-30.096684,22.707,22.753,0.007,1.14,156.1,0.014,0.025,0.042,0,22.48,22.474,0.011,0.98,94.6,0.027,0.018,0.022,0
2551.22,752.79,204.2361907,-30.1065902,23.448,23.945,0.011,1.42,98.6,-0.012,0.062,0.0,2,21.755,21.744,0.008,1.11,142.0,-0.019,0.035,0.0,0
3581.34,2914.42,204.2739435,-30.1128551,23.121,23.484,0.008,1.41,127.9,-0.028,0.049,0.0,0,21.966,21.957,0.009,1.29,126.2,-0.026,0.046,0.0,0
3546.34,768.3,204.2458584,-30.0955867,23.21,23.611,0.009,1.14,121.6,-0.007,0.061,0.0,0,21.92,21.911,0.008,1.03,129.5,-0.011,0.022,0.0,0
3436.5,842.57,204.2457738,-30.0974266,22.753,22.775,0.008,0.97,143.1,0.001,0.006,0.017,2,22.626,22.62,0.012,1.04,88.2,0.005,0.017,0.009,0
638.6,1394.93,204.2262927,-30.1332687,22.729,22.703,0.007,1.91,155.6,0.052,0.061,0.0,0,22.867,22.861,0.014,1.13,75.7,0.036,0.068,0.001,0
2189.67,1197.99,204.2385072,-30.1142987,22.793,22.804,0.007,1.09,151.8,0.006,0.035,0.0,0,22.718,22.712,0.013,0.92,83.3,0.018,-0.004,0.0,0
3407.05,297.56,204.2384474,-30.0932703,22.776,22.782,0.008,1.52,140.1,-0.001,0.054,0.029,2,22.724,22.718,0.013,1.16,82.9,0.013,0.037,0.025,0
2949.0,2154.7,204.2581033,-30.1136783,22.87,22.958,0.011,2.26,101.4,0.066,0.069,0.019,0,22.482,22.475,0.016,1.27,66.9,0.034,0.027,0.002,0
1989.83,1147.31,204.2359503,-30.1161169,23.197,23.586,0.009,0.98,122.4,0.008,0.033,0.0,0,21.952,21.942,0.01,1.03,106.2,0.027,0.008,0.001,2
3647.06,812.64,204.2473898,-30.0948249,23.315,23.74,0.009,1.16,114.9,-0.002,0.05,0.004,0,21.934,21.924,0.009,1.18,119.9,-0.015,0.029,0.002,2
1324.1,3348.33,204.2580823,-30.1416783,23.182,23.497,0.01,1.21,113.4,0.003,0.045,0.0,2,22.187,22.178,0.01,0.91,111.7,0.007,0.027,0.0,0
3287.36,735.29,204.242968,-30.098212,23.048,23.223,0.009,1.32,122.8,0.0,0.038,0.0,2,22.452,22.444,0.011,0.92,97.4,0.002,0.007,0.0,0
842.46,3136.75,204.250762,-30.1453251,23.265,23.586,0.009,1.25,117.5,0.016,0.036,0.0,0,22.251,22.242,0.01,1.12,107.4,0.017,0.047,0.0,0
1307.09,1329.35,204.2318071,-30.1252519,22.951,22.942,0.008,1.47,139.2,0.018,0.061,0.0,0,22.983,22.977,0.015,1.27,71.2,0.026,0.072,0.0,0
2929.14,704.96,204.2391679,-30.1019693,22.957,22.95,0.008,1.31,139.9,-0.01,0.04,0.001,0,22.98,22.974,0.015,1.1,72.6,0.013,0.033,0.002,0
1673.41,1989.17,204.2438262,-30.1265854,22.971,22.958,0.008,1.78,131.9,0.012,0.078,0.001,2,23.024,23.018,0.017,1.18,65.4,0.015,0.058,0.0,2
