galaxy,field,TRGB,RGB AGB Ratio,FWHM,Ratio Error,RGB AGB Ratio pm 1,# star below tip,Slope,Tip Color,Extinction,A606,A814
ngc0253,ngc0253-field07,23.705000000000197,5.74468085106383,0.35,0.9079558398161444,12.781818181818181,703.0,3.3651003820429475,1.3752916666666675,0.009282472605063,0.0381595,0.0248329
ngc0253,ngc0253-field08,23.665000000000184,7.963636363636364,0.35,1.1392432934817087,17.59090909090909,1161.0,4.198927892610499,1.3721076923076923,0.007473483751599,0.0367885,0.0239407
ngc0253,ngc0253-field09,23.70900000000031,8.099415204678362,0.5,0.6565011896875214,17.3411214953271,3711.0,3.774141209538871,1.3970610328638493,0.0103416839328268,0.0367885,0.0239407
ngc0253,ngc0253-field10,23.70300000000026,8.65,0.39,0.589747474206828,19.04,5712.0,3.198729927197819,1.4561633333333333,0.0103480373856969,0.0367885,0.0239407
ngc0891,ngc0891-field01,25.872000000000725,5.001054852320675,0.36,0.17792641917827792,8.867149758454106,11013.0,3.8528459697055335,1.4151288604898848,0.0111168908252377,0.127046,0.0826772
ngc0891,ngc0891-field02,25.883000000000877,6.654135338345864,0.45,0.35727895505856777,13.022267206477732,6433.0,3.522474715834466,1.4831101321585904,0.0123161984856137,0.1268175,0.0825285
ngc0891,ngc0891-field04,25.905000000000925,6.664233576642336,0.36,0.4317518326990779,11.853994490358128,4303.0,3.6567733730740253,1.4954342105263165,0.01216788337807,0.127503,0.0829746
ngc0891,ngc0891-field05,25.83900000000058,7.352941176470588,0.29,1.3440356823115538,14.30232558139535,615.0,3.0478055982414918,1.4130833333333328,0.002738961546247,0.115164,0.0749448
ngc2403,ngc2403-field03,22.354000000000077,3.4,0.28,1.7297398648351723,9.4,47.0,4.012611063341944,1.285499999999999,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,22.594000000000115,5.6,0.23,2.7188232748746284,7.777777777777778,70.0,2.192806719750558,1.5715714285714293,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,22.994000000000177,1.7,0.16,0.4790615826801393,6.2272727272727275,137.0,4.766246206044925,1.232571428571429,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,23.474000000000252,2.9411764705882355,0.25,0.5838940149026369,4.518518518518518,244.0,8.093748186293386,1.0786538461538462,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,23.904000000000323,1.550561797752809,0.21,0.2107984736103201,2.983050847457627,352.0,6.523581071023768,1.0248372093023255,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,24.334000000000387,1.62015503875969,0.18,0.18140402866346197,2.377450980392157,485.0,5.513225696467912,0.9654736842105266,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,24.624000000000436,1.8066666666666666,0.24,0.18386065577154004,2.2883895131086143,611.0,8.65012822386688,0.9209761904761906,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,25.354000000000546,1.7536231884057971,0.22,0.13227137063737937,2.3680981595092025,1158.0,14.868217374394053,0.7812733812949645,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,25.644000000000595,1.8470254957507082,0.26,0.12205196355047514,2.2280701754385963,1397.0,6.834061125309917,0.803515306122449,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,25.944000000000642,1.4470588235294117,0.2,0.08332593765947585,1.4167694204685573,1149.0,5.800418386672561,0.7689959514170033,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field03,26.3340000000007,0.8685376661742984,0.16,0.048961072526558826,0.5099739809193409,588.0,8.521379318844177,0.7139464882943146,0.0187460933483142,0.074491,0.0484762
ngc2403,ngc2403-field04,23.35500000000023,10.0,0.24,6.055300708194983,14.2,71.0,3.944217495421878,1.27625,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,23.615000000000272,4.4,0.25,1.5414279094398156,7.75,93.0,6.363027461486964,1.0939999999999994,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,24.685000000000436,1.8846153846153846,0.19,0.323335695183349,2.142857142857143,210.0,10.173140284322832,0.8962580645161292,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,25.415000000000553,1.4574468085106382,0.21,0.19519760877035539,1.9821428571428572,333.0,8.783888802540108,0.8303913043478263,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field04,25.845000000000617,1.4621212121212122,0.25,0.16514272181542297,1.5178571428571428,340.0,4.108885464817666,0.7678749999999999,0.0137357820742662,0.0660365,0.0429743
ngc2403,ngc2403-field05,23.477000000000317,3.1710526315789473,0.24,0.4171745094874426,4.95,594.0,5.015846528802499,1.1456037735849056,0.0260343368173493,0.078604,0.0511528
ngc2403,ngc2403-field06,23.487000000000258,4.666666666666667,0.22,2.968975381308309,5.333333333333333,32.0,6.557377049180363,1.179499999999999,0.0150209424033857,0.0760905,0.0495171
ngc2403,ngc2403-field06,24.05700000000035,1.3125,0.25,0.4355424957739486,2.5789473684210527,49.0,6.543584949754664,1.0512499999999996,0.0150209424033857,0.0760905,0.0495171
ngc2403,ngc2403-field06,25.907000000000636,1.8918918918918919,0.23,0.3845371673069993,1.6533333333333333,124.0,13.233556518314343,0.7731904761904763,0.0150209424033857,0.0760905,0.0495171
ngc2403,ngc2403-field07,22.13700000000007,2.0,0.19,1.7320508075688772,3.5,7.0,-2.053388090349083,1.0189999999999984,0.0136162752580399,0.0683215,0.0444613
ngc2403,ngc2403-field07,23.39700000000027,5.0,0.23,3.1622776601683795,7.6,38.0,4.563233376792672,1.2310000000000016,0.0136162752580399,0.0683215,0.0444613
ngc2403,ngc2403-field07,23.687000000000317,5.75,0.25,3.114983948594278,5.875,47.0,12.871590560833697,1.0368333333333333,0.0136162752580399,0.0683215,0.0444613
ngc2403,ngc2403-field07,24.577000000000453,1.391304347826087,0.24,0.3803334998853472,1.5714285714285714,66.0,-355.64853556483325,0.9186,0.0136162752580399,0.0683215,0.0444613
ngc2403,ngc2403-field07,25.45700000000059,1.4285714285714286,0.16,0.31484180858247984,1.890625,121.0,5.122984466848393,0.8316153846153846,0.0136162752580399,0.0683215,0.0444613
ngc2403,ngc2403-field07,25.827000000000652,2.1142857142857143,0.23,0.433737570292662,1.5,105.0,4.580152671755717,0.8273333333333337,0.0136162752580399,0.0683215,0.0444613
ngc3031,ngc3031-field02,23.89700000000007,11.142857142857142,0.25,4.396526590860101,36.42857142857143,255.0,7.07006369426751,1.5446666666666669,0.0135710038523955,0.1670335,0.1086997
ngc3031,ngc3031-field02,24.817000000000213,1.974025974025974,0.26,0.19524883424424042,3.688372093023256,793.0,4.33898041186495,1.405955056179775,0.0135710038523955,0.1670335,0.1086997
ngc3031,ngc3031-field02,25.517000000000323,1.6855524079320112,0.57,0.11324019106308504,2.645104895104895,1513.0,4.51039752896337,1.2671099476439782,0.0135710038523955,0.1670335,0.1086997
ngc3031,ngc3031-field02,26.447000000000465,1.5200945626477542,0.54,0.06729124133795293,1.8285917496443813,2571.0,6.121780143317625,1.0602986111111112,0.0135710038523955,0.1670335,0.1086997
ngc3031,ngc3031-field02,27.56700000000064,2.1091022443890273,0.53,0.06393874933778586,1.5132088763649172,4296.0,5.999620513484485,0.8949121813031155,0.0135710038523955,0.1670335,0.1086997
ngc3031,ngc3031-field03,23.767000000000273,5.0,0.23,1.3284223283101428,8.970588235294118,305.0,9.586808551433258,1.28425,0.011447540787144,0.1734315,0.1128633
ngc3031,ngc3031-field03,24.027000000000314,5.870967741935484,0.36,1.1407302410578726,8.6,430.0,5.026489969033874,1.3467999999999998,0.011447540787144,0.1734315,0.1128633
ngc3031,ngc3031-field03,24.247000000000348,2.6097560975609757,0.21,0.33894713211609817,5.176470588235294,528.0,4.743154819537775,1.328765625,0.011447540787144,0.1734315,0.1128633
ngc3031,ngc3031-field03,24.817000000000434,1.591549295774648,0.39,0.13915537397586736,2.546875,815.0,8.153635835762906,1.144504672897196,0.011447540787144,0.1734315,0.1128633
ngc3031,ngc3031-field04,23.46600000000018,4.75,0.17,2.6130681200458588,12.5,75.0,7.78073389890071,1.263199999999999,0.0089664956003959,0.1770875,0.1152425
