galaxy,field,TRGB,RGB AGB Ratio,Ratio Error,RGB AGB Ratio pm 1,# star below tip,Slope,Tip Color,Extinction
ngc0253,ngc0253-field07,23.72200000000027,5.877551020408164,0.908274401335079,12.11864406779661,715.0,3.1920450561753824,1.392411764705883,0.009282472605063
ngc0253,ngc0253-field08,23.665000000000184,7.45,1.0243087099763104,16.6,1162.0,3.460890565517934,1.4241343283582093,0.007473483751599
ngc0253,ngc0253-field09,23.699000000000204,8.052631578947368,0.6529174603952127,17.30952380952381,3635.0,3.1607292706141195,1.4573960396039602,0.0103416839328268
ngc0253,ngc0253-field10,23.713000000000257,7.642570281124498,0.5150406494779476,16.38157894736842,4980.0,2.634699918796557,1.5224660194174757,0.0103480373856969
ngc0891,ngc0891-field01,25.867000000000708,4.927048260381594,0.18103968604771342,8.68971477960242,10054.0,3.3656309240931086,1.4514329545454565,0.0111168908252377
ngc0891,ngc0891-field02,25.897000000000496,5.6078125,0.24062215431809605,10.809948979591837,8475.0,2.926882988428499,1.5382410575427683,0.0123161984856137
ngc0891,ngc0891-field04,25.89400000000039,6.170138888888889,0.39193586846551703,11.3,4181.0,2.589913151578969,1.605313333333334,0.01216788337807
ngc0891,ngc0891-field05,25.858000000000494,5.795454545454546,0.9460774033042038,11.148148148148149,602.0,2.4802117342230385,1.4856585365853654,0.002738961546247
ngc2403,ngc2403-field03,22.274000000000065,4.75,2.6130681200458588,14.75,59.0,6.999125109361369,1.3019999999999996,0.0187460933483142
ngc2403,ngc2403-field03,22.624000000000123,6.0,2.449489742783178,9.090909090909092,100.0,4.053506282934737,1.3411000000000004,0.0187460933483142
ngc2403,ngc2403-field03,23.464000000000254,2.744186046511628,0.48882257932236123,4.191780821917808,306.0,6.157422092617236,1.1113666666666666,0.0187460933483142
ngc2403,ngc2403-field03,23.954000000000327,1.646551724137931,0.19382013312203708,3.0764331210191083,483.0,5.90381901569942,1.018793650793651,0.0187460933483142
ngc2403,ngc2403-field03,24.574000000000424,1.8983957219251337,0.17153447197164895,2.36697247706422,774.0,7.953573991899221,0.9076826923076919,0.0187460933483142
ngc2403,ngc2403-field03,25.37400000000055,1.660427807486631,0.10868007692897262,2.2925696594427243,1481.0,10.600266101628899,0.7875536723163846,0.0187460933483142
ngc2403,ngc2403-field03,25.63400000000059,1.8601398601398602,0.11136219660705864,2.2088607594936707,1745.0,8.133194116497178,0.7892704918032778,0.0187460933483142
ngc2403,ngc2403-field04,23.616000000000305,3.75,1.2183492931011204,6.375,102.0,5.512943432406545,1.0939999999999994,0.0137357820742662
ngc2403,ngc2403-field04,24.286000000000413,1.7857142857142858,0.344151468449797,2.550724637681159,176.0,5.361753701849633,1.0071818181818175,0.0137357820742662
ngc2403,ngc2403-field04,24.67600000000047,1.847457627118644,0.298600047428036,2.238095238095238,235.0,7.933236371555447,0.8827352941176474,0.0137357820742662
